C,dphi,tau,C_cl,dphi_cl,tau_cl,F_res,F_cap,B,S,zone,phi_lock_T_cl,C_hat_cl,theta_C_cl,pi_gate_ok_cl,phi_lock_ok_cl,G_phi,phase_type,inversion_flag,F_phi,C_phi_signed,R_combo_signed_raw,R_combo_signed_unit
0.11856367928153,0.591919191919192,0.8561159420289856,0.11856367928153,0.591919191919192,0.8561159420289856,0.1714832993493929,0.1714832993493929,0.5583,0.4418,regulativ,2.5683478260869568,0.1031422147549372,0.62,False,True,0.8298713858758735,inphase,0,0.14230908328564798,0.09839260483990589,1.2002755325071723,0.07018777378002632
0.11856367928153,0.6065656565656565,0.8561159420289856,0.11856367928153,0.6065656565656565,0.8561159420289856,0.1673425702227215,0.1673425702227215,0.5466,0.4535,regulativ,2.5683478260869568,0.1021155070376199,0.62,False,True,0.821610603825731,inphase,0,0.13749043016644003,0.09741317612629818,1.1596336331632253,0.06781118243921558
0.11856367928153,0.6212121212121212,0.8561159420289856,0.11856367928153,0.6212121212121212,0.8561159420289856,0.163397094989828,0.163397094989828,0.535,0.4651,regulativ,2.5683478260869568,0.1010668940029359,0.62,False,True,0.8131735739014821,inphase,0,0.1328701996979984,0.09641285081627086,1.1206652872377347,0.0655324544519117
0.11856367928153,0.6358585858585859,0.8561159420289856,0.11856367928153,0.6358585858585859,0.8561159420289856,0.1596333811258844,0.1596333811258844,0.5233,0.4768,regulativ,2.5683478260869568,0.0999966005942066,0.62,False,True,0.8045621059733757,inphase,0,0.1284349693022921,0.09539184349469967,1.0832572848664954,0.06334496971454409
0.11856367928153,0.6505050505050505,0.8561159420289856,0.11856367928153,0.6505050505050505,0.8561159420289856,0.156039151271342,0.156039151271342,0.5116,0.4885,regulativ,2.5683478260869568,0.0989048564055208,0.62,False,True,0.7957780473312449,inphase,0,0.12417253110593326,0.09435037318306393,1.047306661351872,0.06124270722384368
0.11856367928153,0.6651515151515152,0.8561159420289856,0.11856367928153,0.6651515151515152,0.8561159420289856,0.1526032094438029,0.1526032094438029,0.5,0.5001,regulativ,2.5683478260869568,0.0977918956324833,0.62,False,True,0.7868232822882356,inphase,0,0.12007175814229207,0.09328866329246312,1.012719568673145,0.05922017908684794
0.11856367928153,0.6797979797979798,0.8561159420289856,0.11856367928153,0.6797979797979798,0.8561159420289856,0.1493153245449394,0.1493153245449394,0.4884,0.5117,regulativ,2.5683478260869568,0.0966579570219767,0.62,False,True,0.7776997317765932,inphase,0,0.11612248784873434,0.09220694157569191,0.9794102928688728,0.05727237306097381
0.11856367928153,0.6944444444444444,0.8561159420289856,0.11856367928153,0.6944444444444444,0.8561159420289856,0.1461661286090826,0.1461661286090826,0.4767,0.5234,regulativ,2.5683478260869568,0.0955032838209459,0.62,False,True,0.7684093529355934,inphase,0,0.11231542030560589,0.09110544007838368,0.9473003957553678,0.0553947023648171
0.11856367928153,0.7090909090909091,0.8561159420289856,0.11856367928153,0.7090909090909091,0.8561159420289856,0.1431470276620288,0.1431470276620288,0.465,0.5351,regulativ,2.5683478260869568,0.0943281237242188,0.62,False,True,0.7589541386917059,inphase,0,0.10864202908551288,0.08998439508923325,0.9163179630040152,0.05358296170843259
0.11856367928153,0.7237373737373737,0.8561159420289856,0.11856367928153,0.7237373737373737,0.8561159420289856,0.1402501234036905,0.1402501234036905,0.4534,0.5467,regulativ,2.5683478260869568,0.0931327288213713,0.62,False,True,0.7493361173310824,inphase,0,0.10509448292652661,0.08884404708930939,0.8863969435106624,0.05183328866204425
0.11856367928153,0.7383838383838384,0.8561159420289856,0.11856367928153,0.7383838383838384,0.8561159420289856,0.1374681442116884,0.1374681442116884,0.4418,0.5583,regulativ,2.5683478260869568,0.0919173555426508,0.62,False,True,0.739557352064458,inphase,0,0.10166557672641133,0.08768464070046797,0.8574765673811963,0.050142129621946
0.11856367928153,0.753030303030303,0.8561159420289856,0.11856367928153,0.753030303030303,0.8561159420289856,0.1347943841968401,0.1347943841968401,0.4302,0.5699,regulativ,2.5683478260869568,0.0906822646039677,0.62,False,True,0.7296199405845617,inphase,0,0.09834867058883105,0.08650642463287694,0.8295008318298023,0.04850620974769051
0.11856367928153,0.7676767676767676,0.8561159420289856,0.11856367928153,0.7676767676767676,0.8561159420289856,0.1322226492351898,0.1322226492351898,0.4191,0.581,regulativ,2.5683478260869568,0.0894277209509682,0.62,False,True,0.7195260146161292,inphase,0,0.09513763584618251,0.08530965163166421,0.8024180459200982,0.04692250634019659
0.11856367928153,0.7823232323232323,0.8561159420289856,0.11856367928153,0.7823232323232323,0.8561159420289856,0.1297472090622908,0.1297472090622908,0.4086,0.5915,regulativ,2.5683478260869568,0.0881539937021991,0.62,False,True,0.7092777394586164,inphase,0,0.09202680714476613,0.08409457842269999,0.7761804264377467,0.04538822520984063
0.11856367928153,0.796969696969697,0.8561159420289856,0.11856367928153,0.796969696969697,0.8561159420289856,0.127362754649866,0.127362754649866,0.3984,0.6017,regulativ,2.5683478260869568,0.0868613560913781,0.62,False,True,0.6988773135217096,inphase,0,0.08901093981242296,0.08286146565752527,0.7507437383169098,0.04390077964989565
0.11856367928153,0.8116161616161616,0.8561159420289856,0.11856367928153,0.8116161616161616,0.8561159420289856,0.125064360197566,0.125064360197566,0.3884,0.6117,regulativ,2.5683478260869568,0.085550085408781,0.62,False,True,0.6883269678537333,inphase,0,0.08608517184135774,0.08161057785743804,0.7260669739924999,0.04245777168621015
0.11856367928153,0.8262626262626263,0.8561159420289856,0.11856367928153,0.8262626262626263,0.8561159420289856,0.122847449167169,0.122847449167169,0.3788,0.6213,regulativ,2.5683478260869568,0.0842204629417587,0.62,False,True,0.6776289656630571,inphase,0,0.08324498991349372,0.0803421833567496,0.7021120668482979,0.04105697532069002
0.11856367928153,0.8409090909090909,0.8561159420289856,0.11856367928153,0.8409090909090909,0.8561159420289856,0.1207077638663594,0.1207077638663594,0.3701,0.63,regulativ,2.5683478260869568,0.0828727739143967,0.62,False,True,0.666785601832603,inphase,0,0.08048619897549819,0.0790565542452227,0.6788436346040122,0.03969632152550151
0.11856367928153,0.8555555555555555,0.8561159420289856,0.11856367928153,0.8555555555555555,0.8561159420289856,0.1186413381567229,0.1186413381567229,0.3611,0.639,regulativ,2.5683478260869568,0.0815073074263305,0.62,False,True,0.6557992024275587,inphase,0,0.07780489493811717,0.07775396630970424,0.6562287490536548,0.03837388477820392
0.11856367928153,0.8702020202020202,0.8561159420289856,0.11856367928153,0.8702020202020202,0.8561159420289856,0.1166444729178691,0.1166444729178691,0.3525,0.6476,regulativ,2.5683478260869568,0.080124356390729,0.62,False,True,0.644672124196401,inphase,0,0.07519744013173224,0.07643469897496476,0.6342367290506868,0.03708787095626932
0.11856367928153,0.8848484848484849,0.8561159420289856,0.11856367928153,0.8848484848484849,0.8561159420289856,0.1147137139483382,0.1147137139483382,0.3443,0.6558,regulativ,2.5683478260869568,0.0787242174714607,0.62,False,True,0.6334067540653382,inphase,0,0.07266044119879661,0.0750990352437577,0.6128389540464924,0.035836606433486656
0.11856367928153,0.8994949494949495,0.8561159420289856,0.11856367928153,0.8994949494949495,0.8561159420289856,0.112845832025541,0.112845832025541,0.3363,0.6638,regulativ,2.5683478260869568,0.0773071910194544,0.62,False,True,0.6220055086262782,inphase,0,0.0701907291454022,0.07374726163611099,0.5920086958395918,0.034618528241263956
0.11856367928153,0.914141414141414,0.8561159420289856,0.11856367928153,0.914141414141414,0.8561159420289856,0.1110378048825903,0.1110378048825903,0.3287,0.6714,regulativ,2.5683478260869568,0.0758735810082695,0.62,False,True,0.6104708336184331,inphase,0,0.06778534130983582,0.07237966812786417,0.5717209664932822,0.033432175175401826
0.11856367928153,0.9287878787878788,0.8561159420289856,0.11856367928153,0.9287878787878788,0.8561159420289856,0.1092868008904233,0.1092868008904233,0.3212,0.6789,regulativ,2.5683478260869568,0.074423694968889,0.62,False,True,0.5988052034036708,inphase,0,0.06544150503652639,0.07099654808846416,0.5519523806370353,0.032276179743977014
