id,K,varphi,varphi_deg,tau_rgn,zone,B,S,R_Qeff_raw,R_PLV,R_combo_norm,F_res,F_cap,C,C_cl,dphi_cl,tau_cl
5623,0.117758053541477,0.3868686868686868,22.165942983343967,0.8561159420289856,regulativ,0.7884,0.2117,2.212936769213305,0.9260950124691344,0.117758053541477,0.3354196855616827,0.3354196855616827,0.1515721959289979,0.1515721959289979,0.3868686868686868,0.8561159420289856
5624,0.1126731328227339,0.4015151515151515,23.005123592373963,0.8561159420289856,regulativ,0.7793,0.2208,2.1322132895816246,0.9204699092049176,0.1126731328227339,0.3231842504908791,0.3231842504908791,0.1515721959289979,0.1515721959289979,0.4015151515151515,0.8561159420289856
5625,0.107922322067589,0.4161616161616161,23.844304201403954,0.8561159420289856,regulativ,0.7702,0.2299,2.057171802448291,0.9146473512536254,0.107922322067589,0.311810047500302,0.311810047500302,0.1515721959289979,0.1515721959289979,0.4161616161616161,0.8561159420289856
5626,0.103471689897976,0.4308080808080807,24.683484810433942,0.8561159420289856,regulativ,0.7612,0.2389,1.9872327845455944,0.9086285876418112,0.103471689897976,0.3012092369756728,0.3012092369756728,0.1515721959289979,0.1515721959289979,0.4308080808080807,0.8561159420289856
5627,0.0992917723074398,0.4454545454545454,25.52266541946394,0.8561159420289856,regulativ,0.752,0.2481,1.921892931085478,0.902414909485104,0.0992917723074398,0.2913055319050441,0.2913055319050441,0.1515721959289979,0.1515721959289979,0.4454545454545454,0.8561159420289856
5628,0.0953568615783676,0.46010101010101,26.361846028493932,0.8561159420289856,regulativ,0.7428,0.2573,1.860713024387916,0.8960076497112438,0.0953568615783676,0.2820323591001635,0.2820323591001635,0.1515721959289979,0.1515721959289979,0.46010101010101,0.8561159420289856
5629,0.0916444268242314,0.4747474747474747,27.201026637523928,0.8561159420289856,regulativ,0.7337,0.2664,1.803308048103608,0.8894081827741491,0.0916444268242314,0.2733313607874988,0.2733313607874988,0.1515721959289979,0.1515721959289979,0.4747474747474747,0.8561159420289856
5630,0.0881346385821557,0.4893939393939393,28.04020724655392,0.8561159420289856,regulativ,0.7247,0.2754,1.7493390765917354,0.882617924359076,0.0881346385821557,0.2651511652634147,0.2651511652634147,0.1515721959289979,0.1515721959289979,0.4893939393939393,0.8561159420289856
5631,0.0848099762912703,0.5040404040404041,28.87938785558392,0.8561159420289856,regulativ,0.7155,0.2846,1.6985065783741395,0.8756383310789316,0.0848099762912703,0.2574463718840169,0.2574463718840169,0.1515721959289979,0.1515721959289979,0.5040404040404041,0.8561159420289856
5632,0.0816549022733955,0.5186868686868686,29.71856846461391,0.8561159420289856,regulativ,0.7065,0.2936,1.650544854155201,0.8684709001618094,0.0816549022733955,0.2501767080236114,0.2501767080236114,0.1515721959289979,0.1515721959289979,0.5186868686868686,0.8561159420289856
5633,0.0786555894319981,0.5333333333333333,30.557749073643905,0.8561159420289856,regulativ,0.6972,0.3029,1.605217391304348,0.8611171691298103,0.0786555894319981,0.2433063249434175,0.2433063249434175,0.1515721959289979,0.1515721959289979,0.5333333333333333,0.8561159420289856
5634,0.0757996926189116,0.547979797979798,31.3969296826739,0.8561159420289856,regulativ,0.688,0.3121,1.5623129633340012,0.8535787154692218,0.0757996926189116,0.2368032065808745,0.2368032065808745,0.1515721959289979,0.1515721959289979,0.547979797979798,0.8561159420289856
5635,0.073076155711413,0.5626262626262626,32.23611029170389,0.8561159420289856,regulativ,0.6792,0.3209,1.5216423386152529,0.8458571562921231,0.073076155711413,0.2306386706824496,0.2306386706824496,0.1515721959289979,0.1515721959289979,0.5626262626262626,0.8561159420289856
5636,0.0704750480574063,0.5772727272727273,33.07529090073388,0.8561159420289856,regulativ,0.6699,0.3302,1.4830354901289513,0.8379541479894898,0.0704750480574063,0.2247869458794828,0.2247869458794828,0.1515721959289979,0.1515721959289979,0.5772727272727273,0.8561159420289856
5637,0.0679874252019191,0.591919191919192,33.914471509763885,0.8561159420289856,regulativ,0.6608,0.3393,1.446339219468764,0.8298713858758734,0.0679874252019191,0.2192248115531134,0.2192248115531134,0.1515721959289979,0.1515721959289979,0.591919191919192,0.8561159420289856
5638,0.065605209790753,0.6065656565656565,34.75365211879387,0.8561159420289856,regulativ,0.6517,0.3484,1.411415125076929,0.8216106038257309,0.065605209790753,0.2139312898753113,0.2139312898753113,0.1515721959289979,0.1515721959289979,0.6065656565656565,0.8561159420289856
5639,0.0633210893212411,0.6212121212121212,35.59283272782387,0.8561159420289856,regulativ,0.6426,0.3575,1.3781378579003185,0.813173573901482,0.0633210893212411,0.2088873814148364,0.2088873814148364,0.1515721959289979,0.1515721959289979,0.6212121212121212,0.8561159420289856
5640,0.0611284280237081,0.6358585858585859,36.43201333685386,0.8561159420289856,regulativ,0.6334,0.3667,1.3463936181234244,0.8045621059733755,0.0611284280237081,0.204075837283756,0.204075837283756,0.1515721959289979,0.1515721959289979,0.6358585858585859,0.8561159420289856
5641,0.059021190646518,0.6505050505050505,37.27119394588385,0.8561159420289856,regulativ,0.6244,0.3757,1.3160788549824467,0.7957780473312448,0.059021190646518,0.1994809620654106,0.1994809620654106,0.1515721959289979,0.1515721959289979,0.6505050505050505,0.8561159420289856
5642,0.0569938763099166,0.6651515151515152,38.11037455491385,0.8561159420289856,regulativ,0.6152,0.3849,1.2870991383579282,0.7868232822882355,0.0569938763099166,0.1950884427792322,0.1950884427792322,0.1515721959289979,0.1515721959289979,0.6651515151515152,0.8561159420289856
5643,0.0550414609101296,0.6797979797979798,38.94955516394384,0.8561159420289856,regulativ,0.6061,0.394,1.2593681762387752,0.7776997317765931,0.0550414609101296,0.1908851999556083,0.1908851999556083,0.1515721959289979,0.1515721959289979,0.6797979797979798,0.8561159420289856
5644,0.0531593468113912,0.6944444444444444,39.78873577297384,0.8561159420289856,regulativ,0.597,0.4031,1.2328069565217392,0.7684093529355933,0.0531593468113912,0.1868592575565446,0.1868592575565446,0.1515721959289979,0.1515721959289979,0.6944444444444444,0.8561159420289856
5645,0.0513433187721731,0.7090909090909091,40.62791638200383,0.8561159420289856,regulativ,0.5877,0.4124,1.2073429951690822,0.7589541386917058,0.0513433187721731,0.1829996290172713,0.1829996290172713,0.1515721959289979,0.1515721959289979,0.7090909090909091,0.8561159420289856
